"Section","What to add","Source"
"Commercial terms","Development price: €500/month, prepaid, €2,000 total for 4 months","Offer §9"
"Maintenance costs (client-side)","During development (months 1–4): ~€100/month (AI tools + email service + Hetzner server, bundled). After go-live: drops to ~€40–50/month (upgraded server + daily backups); email sending has no extra fee; SMS billed only if/when enabled","Offer §10"
"Delivery methodology","Agile/Scrum: new working version every 1–2 weeks, tested by managers/workers, owner reviews and gives feedback; weekly 1–2h call to align on progress and next priorities","Offer §7"
"4-month roadmap by theme","Month 1: website + core system (roles, case intake, statuses, document checklist); Month 2: workshop calendar, mobile photo upload for workers, notifications; Month 3: OCR document reading, courtesy car management, client personal portal; Month 4: hours summary (PDF/Excel), owner statistics, final client PDF report, own email infrastructure, server upgrade","Offer §7"
"Client self-service portal","From month 3, clients get a personal login to track their vehicle's status — not yet mentioned in the minutes","Offer §3, §7"
"Courtesy cars — free vs. paid distinction","Some courtesy cars are free (insurance cases), others are paid (private jobs) — clarifies pricing logic beyond the daily rate already noted","Offer §4"
"Security & infrastructure basics","SSL certificate (""padlock""), anti-spam protection on forms, daily automatic backups, dedicated server (VPS)","Offer §5"
"Explicit exclusions (""out of scope"")","Logo design and branch photoshoot, accounting/bookkeeping, installable mobile app (browser-based only), service copy/content (client provides; Italian translation is on Avibe), SMS notifications at launch (email + in-app only initially)","Offer §11"
"Next steps","Confirm the 4-month plan and start date; align on remaining details (document lists, site/email domain, courtesy car rules); client provides content/access to kick off Month 1","Offer §12"
"Role clarification","Workers (""mastri"") can be assigned across multiple branches — permissions are not locked to a single branch","Offer §3"
"Document checklist detail","Two specific document lists already defined: one for perizia (assessment/appraisal) and one for sinistro (insurance claim opening)","Offer §4"
