"File","Content"
"Folder tree","Full annotated structure"
"requirements.txt","Pinned, production-ready"
".env.example","All needed vars with placeholders"
"app/__init__.py","create_app() factory, full wiring"
"app/config.py","Dev / Prod / Testing configs"
"app/extensions.py","All unbound extensions"
"app/api/__init__.py","Blueprint registration with URL prefixes"
"app/errors/handlers.py","JSON-safe 400–500 handlers"
"All 5 models","User, Contact, Case, Task, Activity with to_dict()"
"cases/routes.py + service.py","Full working example: list, create, get, stage update"
"wsgi.py + run.py","Prod and dev entrypoints"
"tests/conftest.py","Factory + in-memory DB fixture"
".gitignore","Flask-specific, complete"
"First run sequence","6 commands from clone to health check"
"Railway deploy checklist","6-point deploy readiness check"
