"Area","Local LexFlow page","Netlify LP","What Hermes should do"
"Brand framing","“LexFlow” with FAQ-first framing and minimal product narrative. localhost","“aLexy — Legal practice, calmly managed” with full positioning, emotional tone, and outcome-led messaging. iso","Add a stronger product narrative to LexFlow pages, not just FAQ."
"Hero section","None on FAQ page. localhost","Strong hero with headline, subheadline, metrics, CTA buttons. iso","Add or strengthen hero on main LexFlow landing page."
"Product explanation","One FAQ answer defines LexFlow as AI-native legal practice management. localhost","Multiple sections explain pipeline, tasks, intake, updates, communication assistance, repeatable AI workflows. iso","Expand product explanation across sections, not only in FAQ."
"Workflow","Implied only through FAQ answers. localhost","Clear 3-step flow: client submits, firm acts, client tracks matter. iso","Add this flow clearly to LexFlow site."
"Practice areas","One FAQ line listing areas. localhost","Dedicated practice-area section with legal-area tiles and configurability message. iso","Add dedicated practice-area section or deeper linked page."
"Client updates","FAQ hints at client browser access and token link. localhost","Explicit promise: automatic updates reduce interruptions and reassure clients. iso","Bring this clearer benefit language into LexFlow copy."
"Team benefits","Small-firm suitability FAQ only. localhost","Dedicated “team visibility,” “setup in 5 minutes,” “forecasts,” “less friction” sections. iso","Add operational-benefit sections."
"Metrics / proof","No metrics except general claims. localhost","Pilot-style metrics and testimonial placeholder, some marked as needing validation. iso","Use only verified proof; avoid unverified LP claims until confirmed."
"FAQ depth","13 short questions, but some wording is outdated. localhost","FAQ topics aligned with client concerns and product adoption barriers. iso","Update LexFlow FAQ using the revised set already prepared."
"Contact / intake","Demo CTA plus WhatsApp/email only. localhost","Full intake/contact form plus WhatsApp and privacy consent. iso","Clone/adapt the LP intake form for LexFlow."
"Chatbot","Existing “Alessia” widget with basic support framing. localhost","Integrated assistant presentation with conversational preview, stronger visual embedding, and role explanation. iso","Rebuild widget/panel to match LP style and rename appropriately if required."
