"Field","Decision","Reason"
"id","Approve","Primary key for all contact links. LexTaskFlow_Master_Plan_v4.xlsx+1"
"ownerid","Approve","Already aligned with current ownership model. LexTaskFlow_Master_Plan_v4.xlsx"
"fullname","Approve","Needed as the main display/search name. LexTaskFlow_Master_Plan_v4.xlsx+1"
"email","Approve","Core CRM contact field. LexTaskFlow_Master_Plan_v4.xlsx+1"
"phone","Approve","Core CRM contact field. LexTaskFlow_Master_Plan_v4.xlsx+1"
"company","Approve","Useful now, even before full entity normalization. LexTaskFlow_Master_Plan_v4.xlsx+1"
"status","Approve","Already part of current CRM schema. LexTaskFlow_Master_Plan_v4.xlsx"
"notes","Approve with rule","Keep, but not as system-of-record for structural relationships. LexTaskFlow_Master_Plan_v4.xlsx"
"createdat","Approve","Standard audit field. LexTaskFlow_Master_Plan_v4.xlsx+1"
"updatedat","Approve","Standard audit field for mutable rows. LexTaskFlow_Master_Plan_v4.xlsx+1"
"contacttype","Reject now","Too case-like and too narrow if contacts hold both people and companies. LexFlow_Flask_Starter.md"
"entitytype (person / legal_entity)","Approve add now","Needed to support people and legal entities in one table cleanly."
"displayname","Reject now","Duplicates fullname unless a specific UI need appears."
"firstname","Defer","Useful later, but not required for MVP if fullname is kept."
"lastname","Defer","Same reason as firstname."
"organizationname","Reject now","Duplicates company unless you fully normalize contact naming."
"isactive","Approve add now","Helpful for archiving without deletion."
"relationshipcapturestatus","Approve add now","Practical mitigation for postponed contact_relationships."
