"Server","What it does","Why keep"
"postgres","Query, inspect, write to Postgres DBs","Direct DB access for agents — core to your stack"
"supabase","DB + auth + storage + edge functions via MCP","You have Supabase — agents can query/write directly"
"neon","Serverless Postgres (Neon.tech) queries","You have Neon — same use case as postgres MCP"
"brave-search","Web search tool for agents","Cheap real-time search without Google dependency"
"gmail","Read, search, draft, send email","Your email agent pipeline (Phase 3–4) — essential"
"google-calendar","Read/write calendar events","Morning briefing + scheduling automation"
"aws","S3, Lambda, EC2, CloudWatch via MCP","You're on AWS — infra queries, log checking, deployments"
"cloudflare","DNS, Workers, KV, R2, Pages management","You use Cloudflare — agent can manage infra"
"airtable","Read/write Airtable bases and records","In your stack — agent can use as structured DB/CMS"
"atlassian","Jira issues, Confluence pages, sprints","In your stack — project tracking automation"
"canva","Design generation/management via Canva API","In your stack — content pipeline automation"
