"Task","Current","Recommended","Why"
"Vision (image analysis)","nemotron-3-super-120b:free","anthropic/claude-haiku-4.5","Native vision + tool support, already active in your account (used 27d ago), cheap 200K-ctx tier — better UI/screenshot parsing than Nemotron openrouter"
"Web Extract (page summarization)","minimax-m3:free","minimax/minimax-m3","Keep as-is — fast, cheap, sufficient for page-to-text summarization"
"Compression (context compaction)","nemotron-3-super-120b:free","minimax/minimax-m3","Compression just needs speed + fidelity, not a 120B reasoning model; Minimax-M3 is proven fast in your other tasks"
"Skills Hub (skill search)","nemotron-3-super-120b:free","z-ai/glm-5.3-flash","Lightweight semantic matching task; a small flash model is more latency-efficient than a 120B free model"
"Approval (smart auto-approve)","nemotron-3-super-120b:free","minimax/minimax-m3","Approval is essentially classification (approve/deny) — fast+cheap model reduces friction without sacrificing judgment"
"MCP (tool routing)","minimax-m3:free","minimax/minimax-m3","Keep as-is — correct fit already"
"Title Gen (session titles)","minimax-m3:free","minimax/minimax-m3","Keep as-is — correct fit already"
"Triage Specifier (Kanban spec fleshing)","nemotron-3-super-120b:free","nvidia/nemotron-3-super-120b-a12b:free","Keep — spec-fleshing benefits from a larger free reasoning model, no downside since it's low-frequency"
"Kanban Decomposer (task decomposition)","nemotron-3-super-120b:free","deepseek/deepseek-v4-flash-0731 (auto)","Task decomposition for coding work benefits from the same agentic/coding strength as your main model — set to auto so it inherits your upgraded main model"
"Profile Describer (auto descriptions)","nemotron-3-ultra-550b:free","nvidia/nemotron-3-ultra-550b-a55b:free","Keep — infrequent one-shot task, free large model is fine here"
"Curator (skill-usage review)","nemotron-3.5-lightning:free","nvidia/nemotron-3.5-lightning:free","Keep — lightweight review task, already well-matched"
