Sheet,Row_Type,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6
Platform Comparison,HEADER,Platform,Link,Best For,Notes,,
Platform Comparison,DATA,Vercel,https://vercel.com,"Next.js/React landing pages, fastest DX","100GB/mo free bandwidth, unlimited custom domains + free SSL",,
Platform Comparison,DATA,Cloudflare Pages,https://pages.cloudflare.com,"High-traffic sites, edge performance, global audiences","Unlimited free bandwidth, up to 100 custom domains/project",,
Platform Comparison,DATA,GitHub Pages,https://pages.github.com,"Static docs, portfolios, no backend needed","Free, ~100GB soft bandwidth cap, static-only (no functions)",,
Platform Comparison,DATA,Render (Static Sites),https://render.com/docs/static-sites,Static sites plus backend/DB services on one platform,"Free static tier, optional paid backend services",,
Platform Comparison,DATA,Netlify,https://www.netlify.com,"Git-based static/JAMstack deploys, forms, functions","Credit-based free tier, pauses deploys when credits run out",,
Platform Comparison,DATA,Railway,https://railway.app,"Full backend deploys (Flask/Node/DBs), your LexFlow-style stack","Usage-based free trial credit ($5), then pay-as-you-go",,
Platform Comparison,DATA,Hetzner Cloud,https://www.hetzner.com/cloud/,"Full-control VPS: self-hosted DBs, always-on AI agents (Hermes/aLEXy), EU data residency","No PaaS convenience — you manage OS/Docker yourself; from €3.99–4.10/mo, 20TB traffic bundled free",,
Free Tiers & CLI,HEADER,Platform,Free Tier Summary,CLI Docs Link,,,
Free Tiers & CLI,DATA,Netlify,"100GB bandwidth/mo, credit-based Agent Runner limits, pauses when exhausted",https://docs.netlify.com/cli/get-started/,,,
Free Tiers & CLI,DATA,Vercel,"100GB bandwidth/mo, 100 serverless function invocations/day (Hobby plan)",https://vercel.com/docs/cli,,,
Free Tiers & CLI,DATA,Cloudflare Pages,"Unlimited bandwidth, 500 builds/month, 100 custom domains/project",https://developers.cloudflare.com/workers/wrangler/install-and-update/,,,
Free Tiers & CLI,DATA,GitHub Pages,"Free for public repos, ~100GB soft bandwidth cap, static only",https://cli.github.com/manual/,,,
Free Tiers & CLI,DATA,Render,Free static sites + free tier for small web services (spun down after inactivity),https://render.com/docs/cli,,,
Free Tiers & CLI,DATA,Railway,"$5 one-time trial credit, then usage-based (no persistent free tier)",https://docs.railway.com/guides/cli,,,
Free Tiers & CLI,DATA,Hetzner Cloud,"No free tier — flat monthly price from €3.99/mo (CX22), 20TB traffic bundled included, no usage surprises",https://docs.hetzner.com/cloud/cli/,,,
Deployed Projects,HEADER,Platform,Project Name,Dashboard Link,Live Public URL,Published,Owner
Deployed Projects,DATA,Netlify,poetic-kleicha-28d058,https://app.netlify.com/projects/poetic-kleicha-28d058/,https://poetic-kleicha-28d058.netlify.app,Aug 5 (7 days ago),AVibe Agent
Deployed Projects,DATA,Netlify,gregarious-panda-2dc365,https://app.netlify.com/projects/gregarious-panda-2dc365/,https://gregarious-panda-2dc365.netlify.app,Jul 19 (24 days ago),AVibe Agent
Deployed Projects,DATA,Netlify,stalwart-figolla-4630b8,https://app.netlify.com/projects/stalwart-figolla-4630b8/,https://stalwart-figolla-4630b8.netlify.app,Jul 8 (a month ago),AVibe Agent
Deployed Projects,DATA,Netlify,unrivaled-paletas-d249b5,https://app.netlify.com/projects/unrivaled-paletas-d249b5/,https://unrivaled-paletas-d249b5.netlify.app,Jul 6 (a month ago),AVibe Agent
Deployed Projects,DATA,Netlify,avibe-calcio-031726,https://app.netlify.com/projects/avibe-calcio-031726/,https://avibe-calcio-031726.netlify.app,Jul 6 (a month ago),AVibe Agent
Deployed Projects,DATA,Netlify,meek-swan-ea585b,https://app.netlify.com/projects/meek-swan-ea585b/,https://meek-swan-ea585b.netlify.app,Jul 1 (a month ago),AVibe Agent
Deployed Projects,DATA,Netlify,scintillating-gaufre-1d7f90,https://app.netlify.com/projects/scintillating-gaufre-1d7f90/,https://scintillating-gaufre-1d7f90.netlify.app,Jun 11 (2 months ago),AVibe Agent
Deployed Projects,DATA,Netlify,muzloto-apr-1f8f19,https://app.netlify.com/projects/muzloto-apr-1f8f19/,https://muzloto-apr-1f8f19.netlify.app,May 22 (3 months ago),AVibe Agent
