"Sheet","Merged content"
"00 Overview","Index + routing rule: scripts → :free → promo Qwen/GLM → Claude for security/review"
"01 Models & Prices","Full promo + free + key catalogue with per-task best use"
"02 My Use-Case Fit","Model per YOUR tasks: LexFlow CRM, Flask, SEO/GEO/AEO, cron, research, EN/IT/RU"
"03 Factory Workflow","Isolate→Build→Prove→Review→Ship→Approve→Cleanup + non-negotiables"
"04 Model per Pod Task","Hire-the-model table with auto cost-per-cycle formulas"
"05 Nous vs Claude","Quality/efficiency/price/stability/OAuth-drop decision"
"06 Devices & Parallelism","NEW: 8GB Mac control desk vs 64GB ASUS; safe 3→4–6 agent ladder; memory policy"
"07 Hermes Profiles","NEW: 5-profile roster, Nous+OpenRouter split, MCP minimalism, Obsidian folder boundary"
"08 Commands & Cron","NEW: backup, worktrees, multi-provider profile setup, cronjobs, GitHub branch protection"
"09 30-Day Rollout","Time/gains/risk/mitigation + 5/5 rubric + ""what not to do"""
