"Skill folder","What it covers"
"seo","Main orchestrator"
"seo-audit","Full parallel site audit"
"seo-page","Deep single-page analysis"
"seo-technical","Technical SEO (9 categories)"
"seo-content","E-E-A-T & content quality"
"seo-content-brief","Keyword outline + internal links"
"seo-schema","Schema.org detect/validate/generate"
"seo-geo","GEO/AEO / AI Overviews optimization"
"seo-images","Image optimization"
"seo-sitemap","Sitemap analyze/generate"
"seo-backlinks","Backlink profile (Moz, Bing, Common Crawl)"
"seo-local","Local SEO + GBP"
"seo-maps","Geo-grid rank tracking, GBP audit"
"seo-hreflang","i18n / hreflang SEO"
"seo-google","GSC, PageSpeed, CrUX, Indexing, GA4, PDF"
"seo-cluster","SERP-based semantic clustering"
"seo-sxo","Search Experience Optimization"
"seo-drift","SEO drift monitoring w/ SQLite"
"seo-ecommerce","E-commerce SEO + marketplace"
"seo-competitor-pages","Competitor comparison page gen"
"seo-plan","Strategic SEO planning"
"seo-programmatic","Programmatic SEO"
"seo-flow","FLOW framework prompts (CC BY 4.0)"
"seo-image-gen","AI image generation for SEO assets"
"seo-dataforseo","DataForSEO integration"
