"Term","What It Means","In This Context"
"Persistent background/daemon process","A program that keeps running continuously in the background, independent of any terminal window being open","How Hermes typically runs when deployed on Railway or a VPS — it never stops, even if you close your laptop"
"Railway/VPS deployments","Cloud hosting setups: Railway is a managed app-hosting platform; VPS (Virtual Private Server) is a rented remote Linux machine","Where Hermes commonly lives when it's not running on your local Mac"
"Terminal tab","A single command-line session window within your terminal app (e.g., macOS Terminal, iTerm2)","You just need any tab — doesn't matter which — as long as it can reach Hermes"
"hermes CLI","The command-line interface — the set of hermes commands you type to control the agent (start, stop, approve, etc.)","The tool you use to interact with Hermes from the terminal"
"Shell into the right environment","Opening a command-line session inside the specific machine/container where Hermes is actually running","Needed because your local terminal isn't where Hermes lives — you must connect to the remote machine first"
"SSH (Secure Shell)","A protocol/command (ssh user@host) that lets you remotely log into another computer's terminal securely","How you ""enter"" your Railway project or VPS from your own Mac's terminal"
"Foreground mode","Running a program so it occupies and blocks that terminal tab — you can't type other commands in that same tab while it runs","What happens if Hermes is started with a plain hermes start command without daemonizing it"
"Blocking that shell","The terminal tab becomes unusable for anything else because the running process has taken it over","Direct consequence of foreground mode — you're stuck watching logs, can't type new commands"
"Second terminal window/tab","Opening an entirely separate terminal instance alongside the first","Necessary workaround when Hermes is in foreground mode, so you have one tab running Hermes and another free to type commands"
"Approve command","A specific Hermes CLI command (likely hermes approve or similar) used to confirm/authorize a pending action, like a Telegram bot connection","The action you need to run without interrupting Hermes itself"
"Split pane","A terminal feature (built into iTerm2, tmux, Warp, etc.) that divides one window into two independently usable sections","An alternative to opening a whole new window — lets you run Hermes in one half and the approve command in the other"
"Same session","Running one command right after another in the exact same terminal tab, sequentially (not simultaneously)","Only viable when nothing is running yet — you start Hermes, it does its startup work, then you immediately run approve before it starts blocking"
