"Tool","Monthly cost","Notes"
"Obsidian (core app)","$0","Free forever, personal & commercial use eesel"
"Obsidian Sync","$4/mo (annual) or $5/mo (monthly)","Official cross-device vault sync obsidian+1"
"Obsidian Commercial License","~$4.17/mo ($50/yr)","Optional, only for formally supporting the team eesel"
"Obsidian Publish","$8-10/mo per site","Not needed unless you want a public wiki eesel"
"Syncthing (free alt)","$0","Fully free P2P sync, no paid tiers ever checkthat+1"
"BRAT + Hermes Obsidian plugin","$0","Free community plugins obsidian+1"
"Hermes Agent software","$0","MIT license gradually"
"Hermes local (Ollama)","~$3-5/mo","Electricity only, fully local gradually"
"Hermes light cloud API","$2-15/mo","Pay-as-you-go budget models layer3labs"
"Hermes VPS self-host (24/7)","$4-10/mo","Hetzner/OVH cost-optimized tier youtube"
"Hermes Cloud (managed)","$20-60/mo","Hands-off, always-on across devices layer3labs"
"Nous Portal Plus (optional)","$20/mo","Bundled search/image-gen/TTS tools hostinger"
