"Termine","Come si scrive in Italia","Note"
"SEO","SEO","Sempre in inglese, invariabile"
"AEO","AEO","Sempre in inglese, Answer Engine Optimization"
"GEO","GEO","Sempre in inglese, Generative Engine Optimization"
"Local SEO","Local SEO","Inglese, usato così anche in italiano"
"Search Intent","search intent","Inglese, minuscolo"
"Visibilità organica","visibilità organica","Italiano puro"
"Posizionamento","posizionamento","Italiano, equivalente di ""ranking"""
"Motore di ricerca","motore di ricerca","Italiano puro"
"AI Overviews","AI Overviews","Inglese, non si traduce"
"Schema markup","schema markup","Inglese"
"Ricerca generativa","ricerca generativa","Italiano, equivalente di ""generative search"""
