"Field","Decision","Reason"
"id","Approve","Simple primary key for joins and edits."
"caseid","Approve","Required FK to cases."
"contactid","Approve","Required FK to contacts."
"roleincase","Approve","Main reason this table exists."
"isprimary","Approve add now","Useful for identifying lead participant inside the participant table."
"side","Approve add now","Important for claimant/respondent/internal/neutral grouping."
"representationstatus","Approve add now","Distinguishes client, counterparty, witness, authority, third party."
"notes","Approve","Small contextual notes can be useful here."
"createdat","Approve","Standard audit field."
"updatedat","Approve","Standard audit field."
"Unique (caseid, contactid)","Approve","Prevents duplicate participant rows on the same case."
"startdate","Reject now","Overkill for MVP case participation."
"enddate","Reject now","Same reason; add later only if needed."
