"#","Area","Yesterday (Jul 11)","Status","Today (Jul 12)","Priority"
"1","Port conflict","Killed zombie proxy PID 10473 on port 8642","✅ Done","—","—"
"2","User allowlist","Added TELEGRAM_ALLOWED_USERS=1372207688 to profile env","✅ Done","—","—"
"3","Wrong env file","Moved all fixes to ~/.hermes/profiles/operator-installer/.env","✅ Done","—","—"
"4","Duplicate token","Deduplicated TELEGRAM_BOT_TOKEN entries","✅ Done","—","—"
"5","API Server Key","Added API_SERVER_KEY to profile env","✅ Done","—","—"
"6","Pairing lockout","Cleared _lockout:telegram from rate_limits.json","✅ Done","—","—"
"7","Bot running","Confirmed bot responds in Telegram","✅ Done","—","—"
"8","Pairing complete","Bot still needs final pairing approval","⚠️ Pending","Do first","🔴 HIGH"
"9","MCP bloat","30+ unused MCP servers flood logs on every boot","⚠️ Pending","Disable unused MCPs","🟡 MED"
"10","Gateway stability","Gateway runs manually, not via launchd yet","⚠️ Pending","Fix launchd load","🟡 MED"
"11","Cron jobs","Morning Telegram briefing not configured","⏳ New","Set up today","🟡 MED"
"12","Email API","Yahoo/Google API not connected","⏳ New","Plan + connect","🟠 MED"
"13","Email Agent","Read-only agent with drafts + summaries","⏳ New","Design + prompt","🟢 LOW"
"14","Content pipeline","Blog drafts → copywriter agent → Telegram notify","⏳ New","Architecture only","🟢 LOW"
