"Agent","Main role","Main channels/tools"
"operator-installer","Creates agents/subagents, installs MCPs, manages upgrades, routing, guardrails, observability","CLI, Desktop, gateway control, MCP config, profile management"
"lexflow-builder","Builds LexFlow app, code, architecture, deployment, repo work, websites/tools/apps","VS Code, GitHub, Postgres, Railway, Netlify, browser automation"
"agency-growth","SEO, AEO, content ops, social briefs, website improvements","browser tools, docs, research, Google tools"
"sales-crm","Lead triage, outreach, CRM hygiene, email automation, follow-ups","CRM DB, email tools, docs"
"telegram-utility","Telegram intake, reminders, quick lookup, specialist routing","Telegram gateway"
"memory-curator","Memory cleanup, prompt extraction, skill hardening, profile hygiene","memory review, docs, skills"
"content-creator","Blog posts, landing-page copy, SMM posts, hooks, captions, reels scripting","docs, design/video tools, social workflows"
"customer-relationship-manager","Answers simple DMs/messages/emails across Insta/WhatsApp/TG/email","messaging gateway + email + CRM"
"marketing-analyst","Competition research, trend scans, daily news summary","web research, browser tools, cron"
"ads-expert","Google Ads, Meta Ads planning, copy, campaign structure, reporting","ad platform MCP/plugin/manual workflows"
"personal-assistant","Calendar, reminders, travel/admin, personal + business follow-through","Google Calendar/Workspace, Telegram, email"
"librarian","Organizes docs, SOPs, file taxonomies, knowledge retrieval","Drive/Docs/Notion/filesystem/retrieval"
