"English term","Русский перевод","Что это означает для LexFlow"
"Hard-coded value","жёстко заданное значение","Domain, URL, PNG path или CTA записан непосредственно в HTML/Python и требует ручной замены во многих местах"
"Source of truth","единый источник истины","Один файл или registry определяет routes, assets и тексты; остальные страницы генерируются из него"
"Build pipeline","конвейер сборки","Последовательность: source files → языковые версии → dist/ → deployment"
"Generated output","сгенерированный результат","HTML, созданный build script; его нельзя редактировать вручную, потому что следующая сборка перезапишет изменения"
"Deploy artefact","артефакт развёртывания","Финальная папка dist/, которую фактически получает Cloudflare Pages"
"Environment variable","переменная окружения","Значение вроде ORIGIN, задаваемое отдельно для preview и production без изменения исходного кода"
"ORIGIN","базовый адрес сайта","Например, https://lexflow.pages.dev или будущий LexFlow domain; используется для canonical, sitemap и hreflang"
"Canonical URL","канонический адрес страницы","URL, который сайт сообщает поисковикам как основную версию страницы"
"Hreflang","языковая разметка страниц","Связывает EN, IT и RU версии одной страницы"
"Route","маршрут / адрес страницы","Например, /pricing/, /it/pricing/ или external CRM login URL"
"Route registry","реестр маршрутов","Центральный список page IDs и соответствующих им URLs"
"Redirect","перенаправление","Автоматически отправляет старый URL на новый, обычно через permanent 301"
"Internal linking","внутренняя перелинковка","Связи между страницами LexFlow через navigation, breadcrumbs, related articles и contextual links"
"Orphan page","страница-сирота","Страница существует и может быть в sitemap, но ни одна другая страница на неё не ссылается"
"Crawlable link","индексируемая ссылка","Обычная HTML-ссылка, которую поисковый crawler может обнаружить и пройти"
"Descriptive anchor text","описательный текст ссылки","Например, “Read how matter tracking works”, а не безликое “Click here”"
"Asset","визуальный или технический ресурс","PNG, SVG, WebP, font, CSS или JavaScript file"
"Asset manifest","реестр ресурсов","Центральная таблица, связывающая logical asset ID с filename, dimensions и страницами"
"Shared template","общий шаблон","Повторно используемый header, footer, CTA block или layout"
"Page-specific content","содержимое конкретной страницы","Hero image, heading или CTA, которые должны появляться только на выбранной странице"
"Partial","переиспользуемый фрагмент","Отдельный header, cookie banner, chatbot или footer, подключаемый к нескольким templates"
"Regression test","тест на повторное появление ошибки","Автоматическая проверка, что исправленная проблема не вернулась после следующей сборки"
"Visual regression test","визуальный регрессионный тест","Сравнение screenshots до и после изменений на desktop, tablet и mobile"
"Direct Upload","прямая загрузка","Hermes вручную собирает dist/ и отправляет его в Cloudflare через Wrangler"
"Git integration","интеграция с Git","Cloudflare автоматически собирает и публикует сайт после push в определённую branch"
"Preview deployment","тестовое развёртывание","Отдельная временная версия сайта для проверки до production"
"Production deployment","рабочее развёртывание","Публичная версия, предназначенная для пользователей и индексации"
"Noindex","запрет индексирования","Инструкция поисковикам не добавлять preview в выдачу"
"Fallback","резервный вариант","Например, PNG показывается, если browser не поддерживает WebP или AVIF"
"Content manifest","реестр текстового содержимого","Связь между copy key, языком, страницей, section и source file"
"Content key","идентификатор текста","Например, pricing.hero.title; позволяет менять перевод без ручного поиска по HTML"
"Locale","языковая версия","en, it или ru"
"i18n","интернационализация","Архитектура, позволяющая поддерживать несколько языков из общего набора keys"
"Humanization","стилистическая гуманизация","Удаление синтетических AI-конструкций при сохранении смысла, terminology и legal accuracy"
