Rule,Category,Type,Description,Context
"Always use local image files (artefacts/) instead of hotlinked URLs",Images,DO,Download images to a local subfolder and reference them with relative paths. Hotlinked URLs can break if the source deletes or moves them.,"When user asked to populate the audit file with pictures from the multi-page site"
"Pair every text element with lang=""it"" and lang=""en"" spans",i18n,DO,Use <span lang=""it""> and <span lang=""en""> inside every text container. Toggle with data-lang=""en"" on <body>.,"Required for bilingual IT/EN toggle functionality"
"Save bg images in a local artefacts/ folder",Assets,DO,Store all generated/uploaded images in a dedicated artefacts/ subfolder within the project directory.,"User requested all PNGs saved in one subfolder"
"Use section ID anchors for nav menu (not external links)",Navigation,DO,Nav items should link to #section-id within the same page rather than separate .html files.,"User rejected external nav links in favour of same-page section jumps"
"Keep section 06 (methodology) out of the nav menu",Navigation,DO,Routine documentation sections go in the footer/basement — not in the primary nav.,"User explicitly: 'leave it there just in the basement'"
"Use CSS custom properties for theming",Architecture,DO,Centralise colours/shadows/sizes in :root variables. Makes dark mode and future theming trivial.,"Standard practice reinforced by dark/light toggle"
"Store theme and language preferences in localStorage",UX,DO,Persist dark/light and lang choice so the user's preference survives page reloads.,"Cookie consent and theme toggle require persistence"
"Use IntersectionObserver for scroll animations",Performance,DO,Vanilla JS observer is lighter and more performant than jQuery or external libraries.,"Scroll reveal animations across all sections"
"Wrap tables in .table-wrap for overflow-x",Responsive,DO,Prevent horizontal scroll breakage on mobile by wrapping <table> in a scrollable div.,"Table in sections 01 and 03 would overflow on narrow screens"
"Place WhatsApp FAB fixed bottom-right with proper href",Conversion,DO,"Use href=""https://wa.me/..."" with pre-filled message. Green #1fb855 for brand consistency.","Clickable WhatsApp button requested"
"Implement cookie consent with Accept/Reject + granular modal",Legal,DO,"Show banner on first visit, store consent in localStorage, provide settings modal with toggle switches.","Modern site requirement for GDPR/privacy compliance"
"Embed Google Maps via responsive iframe with lazy loading",Maps,DO,"Use <iframe loading=""lazy""> inside a .map-wrap container with border-radius and shadow.","Map section for AVIBE Agency address"
"Use dropdown (accordion) for supplementary data sections",UX,DO,"Long tables or secondary analysis belong in expandable dropdowns to keep the page scannable.","Anomalie sitemap and KPI baseline sections"
"Use numbered steps (counter-increment) for action plans",Content,DO,"CSS counter with decimal-leading-zero creates a clean roadmap visual for sequential items.","Section 05 — Piano di Intervento Prioritario"
"Animate images with CSS clip-path reveal + glow hover",Visual,DO,".img-reveal uses opacity + clip-path transition on scroll; .img-glow adds brightness on hover.","Gallery section scroll animations"
"Remove 'creare' from GBP action — only 'rivendicare'",Copy,DON'T,"Don't suggest creating a profile when the user already has one — only claim/rivendicare the existing one.","User correction on step 1 copy"
"Don't use 'foto reali' — use 'foto attraente' instead",Copy,DON'T,"Avoid generic 'real photos'; use aspirational 'attractive photos' for business profile imagery.","User correction on step 1 copy"
"Don't link nav to external pages (index.html etc)",Navigation,DON'T,The audit page is a standalone document. Nav should scroll to internal sections only.,"User: 'build the menu by the names of the sections'"
"Don't put section 06 in the main nav",Navigation,DON'T,Methodological notes belong in the footer/basement — not in the navigation.,"User: 'leave it there just in the basement'"
"Don't use serif fonts for UI elements",Typography,DON'T,Use Helvetica Neue / sans-serif for nav, buttons, tables, badges, labels. Reserve serif for body text and headings.,"Standard practice across both audit and multi-page site"
"Don't use jQuery or heavy libraries",Performance,DON'T,Vanilla JS is sufficient for all features: IntersectionObserver, localStorage, classList toggles.,"Zero-dependency approach throughout"
"Don't hardcode light-only colours",Theming,DON'T,"Every colour declaration must have a [data-theme=""dark""] override, or use CSS custom properties that switch.",Required for functioning dark/light toggle
"Don't use file:// paths in browser images",Assets,DON'T,"Use relative paths (artefacts/filename.png) not absolute file:/// paths — browser blocks file:// for security.",Image loading from artefacts folder
"Don't mix inline and external styles",Architecture,DON'T,Keep all CSS in one <style> block in the <head>. Scattered inline styles make theming harder.,"Dark mode requires centralised control of colours"
