Phase,Task,Description,Tool/Platform,Status,Dependencies,Est. Effort,Priority,Notes,Owner
0,Fix broken build settings,Swap Production branch back to 'main' and Build output back to 'public' in Cloudflare Pages settings,Cloudflare Dashboard,Not Started,None,15 min,Critical,Blocks all deployments; do this first,Olesia
0,Verify deployment succeeds,"Trigger redeploy after Phase 0 fix, confirm site loads",Cloudflare Dashboard,Not Started,0. Fix broken build settings,10 min,Critical,Sanity check before building anything new,Olesia
1,Create CRM API endpoint(s),"Expose lexflow CRM data/actions via REST endpoint (e.g. /api/leads, /api/contacts)",Flask (lexflow backend),Not Started,None,2-4 hrs,High,Needed before Worker can talk to CRM,Olesia
1,Secure CRM endpoint,Add API key or token-based auth to new endpoint(s),Flask (lexflow backend),Not Started,Create CRM API endpoint(s),1-2 hrs,High,Never expose CRM data with no auth,Olesia
1,Scaffold new Worker (API gateway),npm create cloudflare -- --template=hello-world; name it e.g. lexflow-api-gateway,Cloudflare Workers,Not Started,Secure CRM endpoint,30 min,High,"Separate Worker, does not touch existing site",Olesia + Agent
1,"Write Worker logic: call CRM, return data","Worker receives request, calls CRM API with stored secret, returns filtered JSON",Cloudflare Workers (wrangler),Not Started,Scaffold new Worker (API gateway),2-3 hrs,High,Core 'API gateway' pattern from CF Agent transcript,Olesia + Agent
1,Store CRM secret in Worker,Add CRM API key as a Wrangler secret (wrangler secret put),Cloudflare Workers,Not Started,"Write Worker logic: call CRM, return data",15 min,High,Never hardcode keys in code,Olesia
1,Deploy gateway Worker,wrangler deploy; get public workers.dev URL,Cloudflare Workers,Not Started,Store CRM secret in Worker,15 min,High,Test URL directly before wiring to site,Olesia
1,Test gateway Worker independently,"Call Worker URL with curl/Postman, confirm correct CRM data returned",Cloudflare Workers,Not Started,Deploy gateway Worker,30 min,High,Must pass before connecting to live forms,Olesia
2,Wire lexflow contact form to Worker,Point website form submit action to gateway Worker URL (or custom domain route),lexflow-site (Pages),Not Started,Test gateway Worker independently,1-2 hrs,High,Zero changes to existing Pages site otherwise,Olesia + Agent
2,Add lead-routing logic,If/else in Worker: route by practice area (e.g. criminal law -> colleague X),Cloudflare Workers,Not Started,Wire lexflow contact form to Worker,2-3 hrs,Medium,From CF Agent transcript idea,Olesia + Agent
2,Add welcome-email trigger,"On new lead, Worker calls email service (or CRM's own email trigger)",Cloudflare Workers,Not Started,Add lead-routing logic,1-2 hrs,Medium,Can use CRM's existing email feature if available,Olesia + Agent
2,Add Workers KV for lead cache,Bind KV namespace; cache recent lead submissions for fast lookup/dedup,Cloudflare Workers (KV),Not Started,Wire lexflow contact form to Worker,1 hr,Medium,"Optional optimization, not blocking",Olesia + Agent
3,Evaluate D1 as CRM database option,"Assess moving lexflow CRM data model (contacts, interactions) into D1 SQL",Cloudflare D1,Not Started,Test gateway Worker independently,3-5 hrs (research),Medium,Bigger decision - may keep Flask+Postgres instead,Olesia
3,Add Hermes (Workers AI) for lead classification,Bind Workers AI; use Hermes 2 Pro to classify/summarize incoming leads,Cloudflare Workers AI,Not Started,Add lead-routing logic,2-3 hrs,Medium,"Function-calling model, no external API key needed",Olesia + Agent
3,Scaffold Agents SDK CRM assistant,npm create cloudflare -- --template=agents-starter; persistent agent w/ memory,Cloudflare Agents SDK,Not Started,Add Hermes for lead classification,3-4 hrs,Medium,Long-term: autonomous CRM assistant,Olesia + Agent
3,Add human-in-the-loop approval,Agent proposes actions (e.g. send email); Olesia approves before execution,Cloudflare Agents SDK,Not Started,Scaffold Agents SDK CRM assistant,2 hrs,Medium,Mirrors Agent Lee's confirm-before-write pattern,Olesia + Agent
4,Dynamic sitemap + robots.txt,Generate sitemap.xml/robots.txt dynamically from CRM/content data via Worker,Cloudflare Workers,Not Started,Test gateway Worker independently,1-2 hrs,Low,SEO always-current benefit,Olesia + Agent
4,UTM attribution tracking,Worker logs UTM params per lead into D1/KV for campaign ROI tracking,Cloudflare Workers + D1/KV,Not Started,Evaluate D1 as CRM database option,2-3 hrs,Low,Marketing analytics benefit,Olesia + Agent
4,A/B test CTA variants at edge,"Use KV to serve different CTA copy/layout per visitor bucket, measure conversion",Cloudflare Workers + KV,Not Started,Add Workers KV for lead cache,2-3 hrs,Low,Marketing optimization benefit,Olesia + Agent
4,Migrate full lexflow-site to Workers+Assets,Follow official CF migration guide; wrangler.jsonc w/ assets.directory,Cloudflare Workers (static assets),Not Started,Phase 1-3 hybrid proven stable,4-8 hrs,Low,Only after hybrid stability confirmed,Olesia + Agent
