"Term","Simple meaning","Why it matters to you"
"Project folder","The main folder containing your app’s code and configuration","You must open Terminal inside this folder before running most project commands"
"Terminal","A text-based way to control your computer","On your Mac, use the Terminal app or the integrated terminal in VS Code"
"Git","A version-control tool that records changes to code","Lets you see what changed, save a checkpoint, and collaborate safely"
"Repository / repo","A project folder tracked by Git","Your app appears to be inside a Git repository"
"Branch","A separate line of work in Git","Your output mentions a branch named feat/ux-logic-graph"
"HEAD","Git’s pointer to the currently selected saved version","Think: “where Git says I am right now”"
"Commit","A named saved checkpoint in Git","fddbb7b is the short ID of one commit"
"Virtual environment (.venv)","A private Python workspace for one project","It keeps this app’s Python packages separate from other apps"
"Python","The programming language used by your backend","Your project uses Python 3.9 in its virtual environment"
"site-packages","Folder holding Python libraries installed for the project","The long list of flask, sqlalchemy, etc. belongs here"
"Package / dependency","Reusable code installed into a project","Flask, SQLAlchemy, and Alembic are dependencies"
"Flask","A Python framework for making web applications and APIs","Likely the main backend of your project"
"API","A defined way for programs to communicate with each other","Example: your frontend sends a request to your Flask backend"
"SQLAlchemy","A Python tool for working with databases using Python code","It helps your app create, read, update, and delete database records"
"Database","Structured storage for app data, such as users, cases, or leads","Your app likely uses SQLAlchemy to connect to it"
"Alembic","A tool that tracks database structure changes","Used when you add a database column or table without losing existing data"
"Migration","A saved instruction for changing database structure","Example: “add a phone_number column to the clients table”"
"JWT","JSON Web Token: a signed temporary “proof of login”","Used by your app to recognize an authenticated user"
"Gunicorn","A production server that runs Python web apps","Usually used after deployment to a Linux server, not normally for Mac local development"
".DS_Store","A macOS Finder metadata file","Usually should not be saved to Git"
"node_modules","Folder containing JavaScript packages","It usually belongs to a frontend or API subfolder, such as apps/api"
".gitignore","A file telling Git which files it must not track",".venv, node_modules, secrets, and .DS_Store should normally be ignored"
