"Category","Recommended item","Free?","Link / Tutorial"
"LLM backend","Groq (Llama 3.3 70B)","Yesopenrouter","Groq Cloud setup tutorial"
"LLM backend (fallback)","OpenRouter free tier","Yeslinkedin","OpenRouter free models guide"
"Identity/persona setup","SOUL.md guide","Yes","Use SOUL.md with Hermes"
"Full customization walkthrough","Hermes Complete Customization Guide","Yes","Hermes Agent Masterclass"
"Tools & toolsets","Built-in hermes tools UI","Yes","Tools & Toolsets docs"
"External tool connectivity","MCP integration","Yes","MCP docs"
"MCP tutorial (hands-on)","Filesystem MCP walkthrough","Yes","Connect Hermes to your first MCP server"
"MCP tutorial (dev)","GitHub MCP walkthrough","Yes","Connect Hermes Agent to GitHub MCP"
"Skills catalog (built-in)","Bundled skills","Yes","Bundled Skills Catalog"
"Skills catalog (optional/install)","Official optional skills","Yes","Optional Skills Catalog"
"Voice dictation (desktop)","Wispr Flow (Basic/free tier)","Free tier (2,000 words/wk)github+1","wisprflow.ai"
"Voice dictation API (advanced/gated)","Wispr Flow Voice API","Enterprise-gated, not public yetopenrouter+1","api-docs.wisprflow.ai"
