"Task","Current Model","Verdict","Better Option?"
"Vision","nemotron-3-super-120b:free","⚠️ Overkill & slow","gemini-3-flash-preview — multimodal, ~10× cheaper, faster"
"Web Extract","nemotron-3-super-120b:free","⚠️ Wasteful","Any cheap/fast model; kimi-k2.6 or deepseek-v4-flash (auto)"
"Compression","nemotron-3-super-120b:free","❌ Wrong fit","Use auto or minimax-m3:free — compression needs speed, not size"
"Skills Hub","nemotron-3-super-120b:free","⚠️ Wasteful","auto is fine here"
"Approval","nemotron-3-super-120b:free","⚠️ Wasteful","minimax-m3:free — approval is a classification task, not reasoning"
"MCP Tool Routing","minimax-m3:free","✅ Good","Fast, low-latency routing — correct choice"
"Title Gen","minimax-m3:free","✅ Good","Lightweight task, perfect fit"
"Triage/Kanban Decomposer","nemotron-3-super-120b:free","✅ Acceptable","For a frontend profile, task decomposition benefits from a capable model"
"Profile Describer","nemotron-3-ultra-550b:free","✅ Good","One-shot task, large model fine since it's rare"
"Curator","nemotron-3.5-lightning:free","✅ Good","Fast and cheap for skill review"
