Tool,Use_Case_Category,What_It_Does,Free_Tier,Free_Tier_Specs,Verdict,Recommended_Setup_OptionA,Registration_Link
Make.com,Automation Orchestration,"Visual multi-step workflow builder connecting Notion, Hermes, Railway, etc.",Yes - permanent free plan,"1,000 credits/month, 2 active scenarios, 15-min min schedule interval, 100 MB data transfer/month",RECOMMENDED - primary orchestration hub,Option A: Use both free scenario slots for (1) Hermes->Notion agent output logging and (2) Railway deploy status->Notion ops log,https://www.make.com/en/register
Zapier,Automation Orchestration,"No-code automation connecting 9,000+ apps",Limited,100 tasks/month only,"Skip - overlaps Make, weaker free tier",Not selected - redundant with Make,https://zapier.com
IFTTT,Automation Orchestration,Simple single trigger -> single action automation,Yes,"Free but very limited applets, single-step only",Skip - too simple for agentic workflows,Not selected - redundant with Make,https://ifttt.com
Hightouch,Reverse ETL / Data Sync,Syncs data from PostgreSQL/warehouse into Notion or other SaaS destinations,Yes - limited free tier,"Free tier available, limited sync models",RECOMMENDED - developer-friendly for Railway+Postgres to Notion sync,Not part of Option A scenarios yet - add when DB sync volume grows,https://hightouch.com
Census,Reverse ETL / Data Sync,"Reverse ETL, warehouse to destinations including Notion",Yes - limited free tier,"Free tier available, more enterprise-focused",Skip for now - overlaps Hightouch completely,Not selected - redundant with Hightouch,https://www.getcensus.com
Bardeen,Browser Automation / Scraping,"Chrome extension automating browser tasks, scraping web data into Notion with AI Magic Actions","Yes - free, some AI features paid",Free tier covers core scraping and browser actions,"KEEP - unique niche, feeds external data into Notion with no custom scraper needed","Not part of Option A scenarios - manual/on-demand tool, not scheduled",https://www.notion.com/connections/bardeen
Qonto,Finance / Accounting,"European business banking and expense management, can push transactions to Notion",N/A - it is a bank account,Not a SaaS free tier - business banking service,Skip unless already a Qonto customer,Not relevant to agentic workflow,https://qonto.com
Rootly,Incident Management / On-Call,Incident response platform generating Notion postmortems from alerts,No meaningful free tier,Enterprise DevOps pricing,Skip - overkill for solo/small team LexFlow,Not relevant at current stage,https://rootly.com
Webex,Team Messaging / Video,"Cisco video conferencing and messaging, can push Notion updates to channels",Yes - limited free tier,Free tier limited to basic meetings/messaging,Skip - not in your ecosystem (use Slack or none),Not relevant to agentic workflow,https://www.webex.com
Notion API (direct),Developer / Backend,Direct REST API integration for Hermes agent to read/write Notion databases,Yes - free,"Free, rate-limited by Notion API policy",RECOMMENDED - direct Hermes<->Notion connection alongside Make,Used as the underlying auth layer for Option A scenarios,https://developers.notion.com/guides/get-started/personal-access-tokens
