"MCP","API Key Page"
"higgsfield","https://higgsfield.ai/settings/api"
"kling","https://kling.ai/dev/api-key"
"youtube","https://console.cloud.google.com/apis/credentials"
"vercel","https://vercel.com/account/tokens"
"netlify","https://app.netlify.com/user/applications/personal"
"redirect","https://redirect.pizza/account/api"
"thirdweb","https://thirdweb.com/dashboard/settings/api-keys"
"the-graph","https://thegraph.com/studio/apikeys"
"notion","https://notion.so/my-integrations"
"meigen-ai-design","https://meigen.design/dashboard"
"google-drive","https://console.cloud.google.com/apis/credentials"
"google-calendar","https://console.cloud.google.com/apis/credentials"
"gmail","https://console.cloud.google.com/apis/credentials"
"github","https://github.com/settings/tokens"
"airtable","https://airtable.com/create/tokens"
"aws","https://console.aws.amazon.com/iam/home#/security_credentials"
"canva","https://www.canva.com/developers"
"brave-search","https://api.search.brave.com/register"
"cloudflare","https://dash.cloudflare.com/profile/api-tokens"
"docker-hub","https://hub.docker.com/settings/security"
"railway","https://railway.app/account/tokens"
"resend","https://resend.com/api-keys"
"puppeteer","(no key — local Chrome)"
"sqlite","(no key — local file)"
"postgres","(no key — connection string)"
"memory","(no key — local storage)"
"git","(no key — local repos)"
"filesystem","(no key — local paths)"
"fetch","(no key — public HTTP)"
"blender","(no key — local app)"
"context7","https://mcp.context7.com/mcp"
