Project,Source,Document,Type,Notes,Link
1. Separazione,GDrive: Separazione folder,lettera Rasing-Rasing.pdf,PDF letter,"Correspondence between the Rasing parties — content not reviewed, flagging existence only",https://drive.google.com/file/d/1UC-YR8UoyZvuwF0y89VLUQW-van0D6Ya/view?usp=drivesdk
1. Separazione,GDrive: Separazione folder,certificato residenza_Eugene Rasing.pdf,PDF certificate,Already issued — check if this is 'storico' or current-only residency certificate,https://drive.google.com/file/d/1WUlnMut_u7OSKoBMetibTCEoSP9hTq76/view?usp=drivesdk
1. Separazione,GDrive: Separazione folder,certificato residenza_Olesia Rasing_260922.pdf,PDF certificate,Already issued (22/09/2026) — same check needed re: storico vs. current,https://drive.google.com/file/d/1L4gKEcj5wUWLM8linckHzN6v4IVwNXCa/view?usp=drivesdk
1. Separazione,This session,brogliaccio_v4_IT.md + _ZH.md,Markdown,"Latest memoria, IT + ZH — pending final approval",Session file panel / rasing_dossier_v4.zip
1. Separazione,This session,bozza_ricorso_separazione_tribunale_genova_v2.md,Markdown,Draft petition — needs Avv. completion,Session file panel / rasing_dossier_v4.zip
1. Separazione,This session,olesia_raw_chronological_memory_letter.md,Markdown,First-person emotional letter — pending your corrections,Session file panel
1. Separazione,This session,anagrafe_email_drafts_lerici_firenze_v2.md,Markdown,Ready to send after contact info fill-in,Session file panel
1. Separazione,This session,famiglia_rasing_dati_documenti.csv + 3 cost CSVs,CSV,"Family ID data + cost breakdowns, several lines still 'da confermare'",rasing_dossier_v4.zip
3. Private CF Billing,GDrive: Legal & Accountancy folder,PF-01 to PF-06_2026_notula_pro_forma.docx (6 files),DOCX,Notule pro forma already generated for all 6 installments,"https://drive.google.com/file/d/1CZRiIHXV_OL_5eNMk2wfvmdLmn_42vs3/ (PF-01, others adjacent)"
3. Private CF Billing,GDrive: Legal & Accountancy folder,R-01 to R-06_2026_ricevuta.docx (6 files),DOCX,Ricevute already generated for all 6 installments — confirm which have actual incasso date + marca da bollo applied,"https://drive.google.com/file/d/1NBKWzDlL1ZJc0IRkKXmdU1QIktjUwdiH/ (R-01, others adjacent)"
2. Forfetario Registry,GDrive: Legal & Accountancy folder,— none found —,—,No registration documents yet in Drive — consistent with 'planned' status,—
4. Forfetario Billing Transition,GDrive: Legal & Accountancy folder,— none found —,—,No forfetario invoice template yet in Drive,—
(unclear — flag),GDrive: search result,avibe-preventivo-crm-officina-v5.pdf,PDF,"This is an Avibe/CRM business quote, not legal/separazione or fiscal-registry — appears to be filed in one of these two folders by mistake, or the search picked it up from elsewhere. Please confirm its actual folder.",https://drive.google.com/file/d/15dGZLPQfiNfPnfH90McjHQfJpe93bcHj/view?usp=drivesdk
