"Professionista / studio","Ambito visibile online","Localizzazione / nota"
"Dott.ssa Pavesi","Dermatologia estetica, infiltrazioni di acido ialuronico, filler","Via Pisacane 9, Genova.dermatologopavesi+1"
"Dott.ssa Monica De Stefani","Trattamenti viso e filler","Studio medico a Genova.monicadestefani"
"Dott.ssa Valeria Puggioni","Medicina estetica, filler viso/corpo","Genova.puggionivaleria"
"Dr. Diego Dedola","Filler biorestitutivo, ringiovanimento viso/labbra","Genova.diegodedola"
"Dott.ssa Cristina Rosati","Biorivitalizzazione viso, booster con HA, vitamine e aminoacidi","Scheda trattamento pubblicata online.cristinarosati"
"Dott.ssa Ylenia Motta","Medico estetico","Presente nelle liste Genova per filler acido ialuronico e biorivitalizzazione.miodottore+1"
"Dott. Andrea Cerritelli","Specialista presente per biorivitalizzazione viso","Elenco Genova su MioDottore.miodottore"
"Dr. Sergio Recca","Specialista presente per biorivitalizzazione viso","Elenco Genova su MioDottore.miodottore"
"Dott.ssa Chiara Pascalucci","Specialista presente per biorivitalizzazione viso","Elenco Genova su MioDottore.miodottore"
"Dr. Ahmad Choukeir","Presente per filler acido ialuronico","Corso Firenze 2, Genova.miodottore"
"Dott. Marco Paternostro","Chirurgo plastico / estetico, presente per filler HA","Genova.miodottore"
"Dott. Andrea Maria Scarpa","Chirurgo estetico, medico estetico, chirurgo plastico","Genova.miodottore"
"Dott.ssa Maria Victoria Romanini","Chirurgo plastico e medico estetico","Genova.miodottore"
