message,severity,attributes,tags,timestamp
  | ExceptionGroup: unhandled errors in a TaskGroup (1 sub-exception),error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.963184380Z
    |     async with (,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.963190450Z
  +-+---------------- 1 ----------------,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.963191070Z
    | Exception Group Traceback (most recent call last):,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.963198910Z
"    |   File ""/usr/local/lib/python3.11/contextlib.py"", line 231, in __aexit__",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.963199820Z
"    |     await self.gen.athrow(typ, value, traceback)",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.963204090Z
"    |   File ""/usr/local/lib/python3.11/site-packages/mcp/server/streamable_http_manager.py"", line 140, in run",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964224761Z
    |     async with anyio.create_task_group() as tg:,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964236961Z
"    |   File ""/usr/local/lib/python3.11/site-packages/anyio/_backends/_asyncio.py"", line 815, in __aexit__",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964242121Z
    |     raise BaseExceptionGroup(,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964246661Z
    | ExceptionGroup: unhandled errors in a TaskGroup (1 sub-exception),error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964250911Z
