"Term","English","Russian","Italian"
"Encryption","Encryption means data is converted into a protected form so unauthorised people cannot read it. iso","Шифрование — это способ преобразовать данные в защищённый вид, чтобы посторонние не могли их прочитать. iso","La crittografia è un metodo per trasformare i dati in una forma protetta, così chi non è autorizzato non può leggerli. iso"
"Secure access controls","Secure access controls mean only authorised users can open specific data or functions. paloaltonetworks","Безопасное управление доступом означает, что только авторизованные пользователи могут открывать определённые данные или функции. paloaltonetworks","I controlli di accesso sicuro fanno sì che solo gli utenti autorizzati possano aprire determinati dati o funzioni. paloaltonetworks"
"Data migration","Data migration means moving existing data from one system into another system.","Миграция данных — это перенос существующих данных из одной системы в другую.","La migrazione dei dati è il trasferimento dei dati esistenti da un sistema a un altro."
"Guided migration","Guided migration means your team moves the data with step-by-step support from LexFlow.","Миграция с сопровождением означает, что ваша команда переносит данные с пошаговой поддержкой LexFlow.","La migrazione guidata significa che il vostro team trasferisce i dati con supporto passo dopo passo da parte di LexFlow."
"White-glove migration","White-glove migration means LexFlow handles most of the migration work for you.","Миграция “white-glove” означает, что LexFlow берёт на себя почти всю работу по переносу данных.","La migrazione white-glove significa che LexFlow gestisce per voi la maggior parte del lavoro di trasferimento dei dati."
"Token-secured URL","A token-secured URL is a private access link generated for one user or matter, used to limit access without a password.","URL, защищённый токеном, — это приватная ссылка доступа, созданная для конкретного пользователя или дела, чтобы ограничить доступ без пароля.","Un URL protetto da token è un link privato generato per uno specifico utente o fascicolo, usato per limitare l’accesso senza password."
"Matter page","A matter page is the page where the client sees updates, documents, or information related to their legal case or file.","Страница дела — это страница, где клиент видит обновления, документы или информацию по своему юридическому делу.","La pagina pratica è la pagina in cui il cliente vede aggiornamenti, documenti o informazioni relative al proprio caso o fascicolo."
"GDPR","GDPR is the main EU law on personal data protection and privacy. iso","GDPR — это основной закон ЕС о защите персональных данных и конфиденциальности. iso","Il GDPR è la principale normativa dell’UE sulla protezione dei dati personali e sulla privacy. iso"
"ISO/IEC 27001:2022","ISO/IEC 27001:2022 is an international standard for managing information security. iso","ISO/IEC 27001:2022 — это международный стандарт по управлению информационной безопасностью. iso","ISO/IEC 27001:2022 è uno standard internazionale per la gestione della sicurezza delle informazioni. iso"
"ISO/IEC 27701","ISO/IEC 27701 is an international standard for privacy information management. iso","ISO/IEC 27701 — это международный стандарт по управлению информацией о конфиденциальности. iso","ISO/IEC 27701 è uno standard internazionale per la gestione delle informazioni sulla privacy. iso"
"SOC 2","SOC 2 is an auditing framework used to assess how organisations protect customer data. paloaltonetworks","SOC 2 — это аудиторская система оценки того, как организации защищают данные клиентов. paloaltonetworks","SOC 2 è un framework di auditing usato per valutare come le organizzazioni proteggono i dati dei clienti. paloaltonetworks"
"Practice area","A practice area is a category of legal work, such as family law, criminal law, or real estate law.","Направление практики — это категория юридической работы, например семейное, уголовное или недвижимое право.","Un’area di attività è una categoria di lavoro legale, come diritto di famiglia, penale o immobiliare."
