"Auxiliary Task","What it does","Assign this model"
"Vision","image/screenshot analysis","meta-llama/llama-4-maverick:free (1M context, multimodal)"
"Web extract","web page summarization","mistralai/mistral-small-3.1-24b-instruct:free (fast, light)"
"Compression","context summarization","mistralai/mistral-small-3.1-24b-instruct:free (fast = cheap on tokens)"
"Skills hub","skills search/install","leave auto"
"Approval","smart command approval","deepseek/deepseek-r1:free (reasoning model, good for decisions)"
"MCP","MCP tool reasoning","leave auto"
"Title generation","session titles","mistralai/mistral-small-3.1-24b-instruct:free (overkill to use a big model here)"
"Triage specifier","Kanban spec fleshing","meta-llama/llama-3.3-70b-instruct:free"
"Kanban decomposer","task decomposition","meta-llama/llama-3.3-70b-instruct:free"
"Profile describer","auto profile descriptions","mistralai/mistral-small-3.1-24b-instruct:free"
"Curator","skill-usage review","leave auto"
