"Server","What it does","Why keep"
"aws","S3, Lambda, CloudWatch, IAM","Your infra"
"cloudflare","Workers, KV, R2, DNS, Pages","Your edge layer"
"canva","Design generation via Canva API","In your stack"
"github","PRs, issues, code search, commits","Dev workflow"
"git","Local git operations","Dev workflow"
"filesystem","Read/write local files","Core agent capability"
"gmail","Email read/draft/send","Email agent pipeline"
"google-calendar","Calendar read/write","Morning briefing"
"google-drive","Drive file access","Doc management"
"brave-search","Web search","Agent research"
"thirdweb","Web3 SDK, contracts, wallets","In your stack"
"solana-agent-kit","Solana transactions, DeFi, NFTs","In your stack"
"the-graph","Blockchain subgraph queries","Web3 data indexing"
"higgsfield","AI video generation API","In your stack"
"meigen-ai-design","AI design generation","In your stack"
"airtable","Structured DB / CMS operations","In your stack"
"memory","Persistent agent memory across sessions","Core Hermes function — never remove"
"fetch","Fetches any URL as text/markdown","KEEP — agents need this to read any webpage, API doc, or raw URL"
"context7","Pulls live library docs (Next.js, React etc.) into agent context","KEEP — invaluable for coding agents, always fresh docs"
"notion","Read/write Notion pages + databases","Useful if you use Notion for project mgmt"
"puppeteer","Browser automation, scraping","Useful for content pipeline / web agents"
"railway","Deploy/manage Railway.app services","You discussed Railway as hosting option"
"docker-hub","Pull/push Docker images, manage repos","Dev workflow if containerising"
"vercel","Deploy, manage Vercel projects","Frontend deployment"
