"Model","Price (in/out per 1M)","Tier","Best fit in your roster"
"Hermes 4 70B/405B","Free (via OpenRouter)","Free","Hermes orchestration system — test/tune your own agent framework since it's the native model family openrouter+1"
"Ox Alpha","$0.00 / $0.00","Free","General scratch/dev testing, non-critical agent calls in LexFlow-MVP nousresearch"
"Upstage Solar Pro 4 (free variant)","$0.00 / $0.00","Free","Lightweight Kanban/task-parsing logic in LexFlow-MVP nousresearch"
"Ling-2.6-flash (inclusionAI)","$0.01 / $0.02","Ultra-low","High-volume SEO content scraping/parsing for Alena Krot real estate nousresearch"
"Mistral Nemo","$0.02 / $0.02","Ultra-low","Quick classification/routing tasks inside Hermes agent pipelines nousresearch"
"gpt-oss-120b","$0.02 / $0.14","Low","Legal logic and reasoning-heavy features in LexFlow-MVP CRM nousresearch"
"DeepSeek V4 Flash Latest","$0.05 / $0.14","Low","Competitive analysis and bulk SEO research — this is your current top-spend model, so it's clearly already fitting this role nousresearch[currently-viewed-page]"
"Qwen3 Coder 30B A3B","$0.06 / $0.22","Low-mid","Flask/React coding sessions across aLEXy and LexFlow-MVP nousresearch"
"Gemini 2.5 Flash Lite","$0.08 / $0.32","Low-mid","Multimodal property-image analysis for Alena Krot real estate platform nousresearch"
"Grok 4.5","Standard rate","Mid-high","Your other active model per usage data — best reserved for complex agent reasoning in Hermes where quality matters more than cost [currently-viewed-page]"
