message,severity,attributes,tags,timestamp
"    |   File ""/usr/local/lib/python3.11/site-packages/mcp/server/streamable_http_manager.py"", line 145, in run",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""87f73896-be31-4128-9af0-b5a62285641d"",""replica"":""5fc40eec-8c3c-41f9-8b42-f3f771c17231""}",2026-08-15T12:00:36.468150393Z
    |     yield  # Let the application run,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""87f73896-be31-4128-9af0-b5a62285641d"",""replica"":""5fc40eec-8c3c-41f9-8b42-f3f771c17231""}",2026-08-15T12:00:36.468154533Z
    |     ^^^^^,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""87f73896-be31-4128-9af0-b5a62285641d"",""replica"":""5fc40eec-8c3c-41f9-8b42-f3f771c17231""}",2026-08-15T12:00:36.468158303Z
"    |   File ""/usr/local/lib/python3.11/site-packages/fastmcp/server/http.py"", line 670, in lifespan",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""87f73896-be31-4128-9af0-b5a62285641d"",""replica"":""5fc40eec-8c3c-41f9-8b42-f3f771c17231""}",2026-08-15T12:00:36.468161863Z
    |     yield,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""87f73896-be31-4128-9af0-b5a62285641d"",""replica"":""5fc40eec-8c3c-41f9-8b42-f3f771c17231""}",2026-08-15T12:00:36.468165793Z
"    |   File ""/usr/local/lib/python3.11/site-packages/hindsight_api/api/__init__.py"", line 84, in chained_lifespan",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""87f73896-be31-4128-9af0-b5a62285641d"",""replica"":""5fc40eec-8c3c-41f9-8b42-f3f771c17231""}",2026-08-15T12:00:36.468169983Z
    |     async with single_bank_starlette_app.router.lifespan_context(single_bank_starlette_app):,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""87f73896-be31-4128-9af0-b5a62285641d"",""replica"":""5fc40eec-8c3c-41f9-8b42-f3f771c17231""}",2026-08-15T12:00:36.468174343Z
"    |   File ""/usr/local/lib/python3.11/contextlib.py"", line 231, in __aexit__",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""87f73896-be31-4128-9af0-b5a62285641d"",""replica"":""5fc40eec-8c3c-41f9-8b42-f3f771c17231""}",2026-08-15T12:00:36.468178393Z
"    |     await self.gen.athrow(typ, value, traceback)",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""87f73896-be31-4128-9af0-b5a62285641d"",""replica"":""5fc40eec-8c3c-41f9-8b42-f3f771c17231""}",2026-08-15T12:00:36.468183623Z
"    |   File ""/usr/local/lib/python3.11/site-packages/fastmcp/server/http.py"", line 665, in lifespan",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""87f73896-be31-4128-9af0-b5a62285641d"",""replica"":""5fc40eec-8c3c-41f9-8b42-f3f771c17231""}",2026-08-15T12:00:36.468187543Z
